orf_id,Essential,upstream_size,downstream_size,paralagous_count,phyletic_retention,promoter_count(Harbison_et_al),DIP_degree,PI,CAI,Codon_bias,ASP,GLN,GLU,MET,Gravy_score,aromaticity_score,cytoplasm,endosome,ER to Golgi,mitochondrion,nucleolus,nucleus,spindle pole,vacuolar membrane,vacuole
YAL024C,N,399,419,0,1,0,4,6.43,123,-8,91,56,99,27,-0.603136,0.068293,1,0,0,0,0,0,0,0,0
YAL025C,Y,419,527,0,4,0,1,5.07,219,202,22,15,44,6,-1.18497,0.068627,0,0,0,0,0,0,0,0,0
YAL026C,N,527,157,5,5,0,3,5.34,188,0.14,84,47,89,28,-0.212546,0.110701,0,0,0,0,0,0,0,0,0
YAL027W,N,200,157,0,1,6,5,10.12,112,-18,14,12,14,4,-0.255173,0.061303,0,0,0,0,0,1,0,0,0
YAL028W,N,629,200,0,0,49,3,9.43,113,-9,35,21,28,13,-0.6875,0.060606,0,0,0,0,0,0,0,0,0
YAL029C,N,629,102,4,3,0,16,7.63,0.15,94,69,68,115,33,-0.328076,0.096533,1,0,0,0,0,0,0,0,0
YAL030W,N,254,102,1,1,23,1,8.42,132,77,8,4,8,5,-0.219658,0.051282,0,0,0,0,0,0,0,0,0
YAL031C,N,254,274,0,1,0,2,10.51,123,62,27,28,41,13,-0.455921,75,1,0,0,0,0,0,0,0,0
YAL032C,Y,274,107,0,4,0,11,9.93,139,139,22,19,29,7,-0.826121,0.055409,0,0,0,0,0,1,0,0,0
YAL033W,Y,754,107,0,3,57,0,7.83,93,-8,13,4,10,5,-0.242775,0.052023,1,0,0,0,0,1,0,0,0
YAL034C,N,754,122,1,2,0,5,10.71,125,73,20,15,13,8,-0.835351,0.094431,0,0,0,0,0,0,0,0,0
YAL034W-A,Y,282,122,0,2,0,4,4.96,109,-55,25,9,30,6,-0.529066,0.048443,0,0,0,0,0,0,1,0,0
YAL035W,N,274,282,0,5,27,17,5.55,355,416,61,50,123,17,-0.740918,0.043912,1,0,0,0,0,0,0,0,0
YAL036C,N,274,219,1,5,0,9,8.49,239,244,24,11,22,6,-0.131707,0.056911,1,0,0,0,0,0,0,0,0
YAL037W,N,501,219,0,0,47,0,8.04,94,-0.07,14,18,11,7,-0.122846,0.097378,0,0,0,0,0,0,0,0,0
YAL038W,Y,2260,137,1,4,183,2,7.66,893,882,32,10,28,11,-148,62,1,0,0,0,0,0,0,0,0
YAL040C,N,1195,373,0,1,0,8,9.78,205,236,24,24,16,12,-0.261035,0.098276,0,0,0,0,0,0,0,0,0
YAL041W,Y,276,373,0,3,19,21,8.69,128,48,36,40,54,22,-0.477635,0.076112,1,0,0,0,0,1,0,0,0
YAL042W,N,263,276,0,4,6,3,6.81,118,96,27,19,20,9,-0.399759,0.089157,0,0,0,0,0,0,0,0,0
YAL043C,Y,263,232,0,3,0,6,6.17,0.13,133,48,40,51,21,-0.362548,0.06879,0,0,0,0,0,1,0,0,0
YAL046C,N,132,171,0,2,0,0,10.72,113,141,4,8,5,6,-0.426271,0.050847,0,0,0,0,0,0,0,0,0
YAL047C,N,171,199,0,1,0,17,4.81,143,53,40,39,69,10,-0.777813,0.053055,0,0,0,0,0,0,1,0,0
YAL049C,N,205,104,0,3,0,2,6.24,172,0.08,18,5,14,3,-0.081301,0.109756,1,0,0,0,0,0,0,0,0
YAL051W,N,313,104,1,1,20,0,6.82,143,57,55,29,65,33,-0.268004,0.090735,0,0,0,0,0,0,0,0,0
YAL053W,N,876,313,3,1,84,5,7.78,166,187,37,30,23,15,0.229119,0.12516,0,0,0,0,0,0,0,0,0
YAL054C,N,876,161,1,4,0,3,6.6,255,311,48,22,38,8,-0.27195,0.096774,1,0,0,0,0,1,0,0,0
YAL055W,N,373,161,0,1,18,1,8.33,87,-119,14,4,9,4,-0.298333,0.066667,0,0,0,0,0,0,0,0,0
YAL056W,N,286,373,1,0,20,2,7.41,113,-13,57,24,45,26,-0.459091,0.089773,1,0,0,1,0,0,0,0,0
YAL058W,N,316,286,0,2,14,2,5.04,109,28,25,18,41,13,-0.344821,0.089641,0,0,0,0,0,0,0,0,0
YAL059W,N,205,316,0,1,11,8,10.42,174,0.15,14,7,19,3,-0.830189,0.042453,0,0,0,0,0,1,0,0,0
YAL060W,N,453,205,4,0,45,1,6.64,224,258,21,10,25,11,-0.049738,0.065445,1,0,0,0,0,0,0,0,0
YAL061W,N,507,453,4,0,40,0,6.04,144,152,25,6,34,10,-0.235252,0.069544,1,0,0,0,0,1,0,0,0
YAL062W,N,3598,507,1,2,257,2,5.23,156,165,21,18,34,10,-0.193217,0.091904,0,0,0,0,0,0,0,0,0
YAL067C,N,3029,4528,2,1,0,1,8.05,184,135,30,18,29,11,-0.062732,0.155143,0,0,0,0,0,0,0,0,0
YAL068C,N,310,1806,19,0,0,0,5.04,628,696,5,4,5,4,0.254167,0.091667,0,0,0,0,0,0,0,0,0
YAR002C-A,N,280,188,2,2,0,6,7.42,325,345,15,14,12,4,-0.130594,0.09589,0,0,0,0,0,0,0,1,0
YAR002W,N,1090,188,0,2,70,6,10.16,143,67,19,18,41,6,-0.832653,0.070501,0,0,0,0,0,0,0,0,0
YAR003W,N,280,468,0,3,19,8,4.52,129,52,29,15,38,5,-0.288498,0.093897,0,0,0,0,0,1,0,0,0
YAR007C,Y,345,468,0,5,0,11,6.13,206,187,42,32,37,10,-0.558937,0.095008,0,0,0,0,0,1,0,0,0
YAR008W,Y,345,6964,0,3,32,1,7.75,121,18,22,11,15,6,-0.281818,0.087273,0,0,0,0,0,0,0,0,0
YAR014C,N,503,6964,0,2,0,14,4.26,0.12,-39,83,25,64,14,-1.06747,0.066478,1,0,0,0,0,1,0,0,0
YAR015W,N,503,100,0,3,42,0,5.8,0.23,292,21,9,26,3,-0.395425,0.091503,1,0,0,0,0,1,0,0,0
YAR018C,N,510,100,1,3,0,12,8.65,138,64,19,28,37,10,-0.665977,0.110345,0,0,0,0,0,0,0,0,0
YAR019C,Y,1720,510,12,2,0,5,7.97,138,71,57,27,42,17,-0.113655,0.097536,0,0,0,0,0,0,1,0,0
YAR020C,N,2257,1720,0,0,0,1,4.76,482,494,2,1,3,1,0.558182,0.072727,0,0,0,0,0,0,0,0,0
YAR023C,N,3945,2257,5,0,0,2,7.83,103,-32,5,10,9,4,0.073743,0.134078,0,0,0,0,0,0,0,0,0
YAR027W,N,3945,414,7,0,188,33,6.1,128,-1,8,5,19,5,0.093617,0.119149,0,0,0,0,0,0,0,0,0
YAR028W,N,414,724,6,0,30,10,5.01,122,28,11,7,16,11,0.010684,0.111111,0,0,0,0,0,0,0,0,0
YAR029W,N,724,290,0,0,40,0,4.55,116,-87,3,3,10,1,-0.782432,0.175676,0,0,0,0,0,0,0,0,0
YAR031W,N,290,374,6,0,0,5,8.08,107,-85,14,11,22,6,-0.329195,0.161074,0,0,0,0,0,0,0,0,0
YAR042W,N,201,7214,3,3,10,0,5.34,176,143,96,47,89,22,-0.757576,0.077441,0,0,0,0,0,0,0,0,0
YAR050W,N,7214,12181,5,0,460,0,3.93,259,384,43,33,85,29,-0.16311,0.058556,0,0,0,0,0,0,0,0,0
YBL001C,N,1473,264,0,1,0,4,6.67,243,209,9,3,6,3,-0.201923,0.048077,1,0,0,0,0,1,0,0,0
YBL002W,N,699,264,1,2,48,34,10.89,563,0.61,3,4,8,2,-0.620611,0.053435,0,0,0,0,0,1,0,0,0
YBL003C,N,699,276,1,3,0,6,11.43,544,608,3,6,5,1,-0.315909,0.030303,0,0,0,0,0,1,0,0,0
YBL004W,Y,7235,276,0,4,93,18,7.03,146,67,139,84,173,52,-0.168993,0.098676,1,0,0,0,1,0,0,0,0
YBL005W,N,340,7235,2,0,24,1,6.55,148,0.06,52,45,60,17,-0.308299,0.11168,1,0,0,0,0,1,0,0,0
YBL006C,N,340,326,0,1,0,1,9.32,57,-141,6,12,12,2,-0.436111,0.061111,0,0,0,0,0,0,0,0,0
YBL007C,N,326,456,0,2,0,33,5.69,189,201,66,83,74,46,-0.654421,0.06672,1,0,0,0,0,0,0,0,0
YBL008W,N,4,456,0,5,0,8,7.13,128,13,63,21,46,11,-0.38381,0.069048,1,0,0,0,0,1,0,0,0
YBL009W,N,244,184,1,2,21,1,10.12,141,59,37,34,26,10,-0.545414,0.075444,0,0,0,0,0,0,0,0,0
YBL010C,N,244,289,0,0,0,1,4.84,122,9,25,16,27,4,-0.856071,0.071429,0,0,0,0,0,0,0,0,0
YBL011W,N,299,289,1,3,16,0,7.27,166,147,36,21,63,19,-0.295389,0.086957,0,0,0,0,0,0,0,0,0
YBL014C,Y,307,3361,0,1,0,1,4.87,0.12,-19,76,50,56,11,-0.484564,0.083893,1,0,0,0,1,0,0,0,0
YBL016W,N,867,609,12,1,42,14,7.11,0.11,54,21,12,24,9,-0.287818,0.09915,1,0,0,0,0,1,0,0,0
YBL017C,N,867,369,2,3,0,3,4.59,163,61,131,42,115,28,-0.477707,0.11273,0,1,0,0,0,0,0,0,0
YBL018C,Y,369,82,0,1,0,0,4.55,175,111,14,6,10,3,-0.467669,0.112782,0,0,0,0,0,1,0,0,0
YBL019W,N,227,82,0,5,14,1,9.81,122,14,35,18,27,11,-0.490962,0.088462,1,0,0,0,0,1,0,0,0
YBL020W,Y,306,227,0,4,17,0,9.94,139,101,17,21,24,10,0.406446,0.151568,0,0,0,0,0,0,0,0,0
YBL021C,N,306,384,0,4,0,5,4.6,91,5,8,10,15,4,-0.702778,0.048611,1,0,0,0,0,1,0,0,0
YBL023C,Y,347,331,5,5,0,14,4.87,175,0.15,69,32,86,18,-0.637327,0.062212,1,0,0,0,0,1,0,0,0
YBL024W,N,615,331,1,5,34,4,7.32,0.27,277,40,21,58,12,-0.580409,0.076023,0,0,0,0,0,1,0,0,0
YBL025W,N,442,615,0,1,23,2,4.95,99,-128,11,4,13,1,-0.311724,0.082759,0,0,0,0,1,0,0,0,0
YBL026W,Y,1246,442,0,5,76,57,8.4,169,169,7,4,6,3,-0.293684,0.094737,1,0,0,0,0,1,0,0,0
YBL027W,N,584,1246,1,5,44,0,11.93,708,753,7,7,12,1,-0.950794,0.037037,1,0,0,0,0,0,0,0,0
YBL028C,N,584,253,0,2,0,0,10.97,261,178,8,5,8,3,-1.36981,0.04717,0,0,0,0,1,1,0,0,0
YBL029W,N,1361,253,0,1,133,1,6.39,117,-7,17,9,26,6,-0.843085,0.082447,1,0,0,0,0,1,0,0,0
YBL031W,N,369,325,0,1,23,1,11.19,131,0.1,15,15,12,8,-0.997929,0.050296,0,0,0,0,0,0,0,0,0
YBL032W,N,490,369,0,1,42,15,5.97,191,215,20,7,35,3,-0.397375,0.049869,1,0,0,0,0,0,0,0,0
YBL033C,N,490,266,0,2,0,0,6.3,112,42,26,14,22,6,-0.59971,0.055072,1,0,0,0,0,1,0,0,0
YBL034C,Y,266,237,0,2,0,6,6.25,148,39,91,58,102,44,-0.444679,0.09187,0,0,0,0,0,0,1,0,0
YBL035C,Y,237,272,0,5,0,1,7.04,145,94,37,35,44,9,-0.437872,0.08227,0,0,0,0,0,1,0,0,0
YBL036C,N,272,160,0,4,0,5,6.38,236,217,16,9,23,4,-0.453696,0.07393,1,0,0,0,0,1,0,0,0
YBL037W,N,323,160,0,3,21,4,8.97,135,59,49,43,52,18,-0.088585,0.077073,0,0,0,0,0,0,0,0,0
YBL039C,N,458,416,1,4,0,12,5.93,309,352,35,15,48,17,-0.239378,0.074266,1,0,0,0,0,0,0,0,0
YBL040C,Y,524,139,0,5,0,8,10.62,182,199,6,5,5,7,0.410959,0.173516,0,0,0,0,0,0,0,0,0
YBL041W,Y,986,139,0,4,81,1,5.99,166,145,18,6,15,3,-0.436929,0.112033,0,0,0,0,0,0,0,0,0
YBL042C,N,986,879,5,1,0,2,7.47,168,174,30,11,24,10,0.190923,0.15493,0,0,0,0,0,0,0,0,0
YBL043W,N,321,879,0,1,17,2,4.09,173,104,29,6,24,2,-0.89144,0.077821,0,0,0,0,0,0,0,0,0
YBL044W,N,481,321,0,0,32,3,10.99,102,81,4,4,6,3,-0.748361,0.057377,0,0,0,0,0,0,0,0,0
YBL046W,N,383,393,0,1,33,2,4.09,129,-78,61,12,47,16,-1.0356,0.072562,0,0,0,0,0,1,0,0,0
YBL047C,N,383,650,0,3,0,9,4.44,197,192,81,107,111,20,-0.684938,0.04924,0,0,0,0,0,0,0,0,0
YBL049W,N,708,650,0,3,73,12,9.71,157,134,6,7,5,3,-0.556522,0.108696,0,0,0,0,0,0,0,0,0
YBL050W,Y,365,708,0,4,28,7,4.8,159,0.06,24,15,24,4,-0.513014,0.099315,0,0,0,0,0,0,0,0,0
YBL051C,N,365,878,0,2,0,1,6.21,187,194,24,67,30,15,-0.795659,0.055389,1,0,0,0,0,0,0,0,0
YBL052C,N,878,212,0,2,0,2,6.4,132,-7,59,24,75,12,-0.853309,0.101083,0,0,0,0,0,1,0,0,0
YBL054W,N,759,212,1,0,57,1,10.14,142,0.1,26,17,31,9,-0.940381,0.057143,1,0,0,0,0,1,0,0,0
YBL055C,N,759,404,0,4,0,0,6.72,125,17,26,18,26,9,-0.337081,0.102871,1,0,0,0,0,0,0,0,0
YBL056W,N,317,404,2,2,19,5,4.29,177,78,48,14,37,13,-0.410256,0.057692,1,0,0,0,0,1,0,0,0
YBL058W,N,192,92,0,3,10,5,4.72,144,96,32,25,35,7,-0.960993,0.07565,1,0,0,0,0,1,0,0,0
YBL059W,N,54,192,0,0,5,2,10.87,89,-58,8,9,7,8,-0.310881,0.088083,0,0,0,1,0,0,0,0,0
YBL060W,N,525,129,0,1,41,0,6.38,143,62,36,20,55,18,-0.510626,0.09607,1,0,0,0,0,0,0,0,0
YBL061C,N,525,94,1,4,0,5,10.08,113,-0.01,34,36,38,17,-0.684627,0.076149,1,0,0,0,0,1,0,0,0
YBL063W,N,729,94,1,4,58,1,6.85,143,39,60,69,75,20,-0.625472,0.051305,0,0,0,0,0,0,0,0,0
YBL066C,N,255,1022,0,1,0,1,7.57,142,84,59,57,48,22,-0.521864,0.074913,0,0,0,0,0,0,0,0,0
YBL067C,N,1022,421,1,0,0,0,6.17,145,35,49,23,55,11,-0.706024,0.078983,0,0,0,0,0,0,0,0,0
YBL068W,N,383,421,3,1,21,0,6.35,199,188,24,11,17,7,-0.060245,0.04893,1,0,0,0,0,0,0,0,0
YBL069W,N,514,383,1,0,2,0,8.57,169,109,27,12,22,11,-0.299301,0.102564,1,0,0,0,0,1,0,0,0
YBL072C,N,332,733,1,5,0,3,11.42,747,776,3,7,14,1,-0.8295,0.08,1,0,0,0,0,0,0,0,0
YBL074C,Y,733,273,0,2,0,3,4.77,143,16,28,16,29,16,-0.63662,0.126761,1,0,0,0,0,1,0,0,0
YBL075C,N,273,237,12,4,0,3,4.89,177,155,51,20,49,9,-0.489368,0.063174,1,0,0,0,0,0,0,0,0
YBL076C,Y,237,312,2,4,0,8,5.94,342,352,78,24,79,18,-0.340392,0.113806,1,0,0,0,0,0,0,0,0
YBL078C,N,312,610,0,3,0,8,9.92,0.15,106,7,2,10,3,-0.477778,0.119658,0,0,0,0,0,0,0,0,0
YBL079W,N,563,610,1,5,31,3,6.04,151,78,80,60,93,28,-0.188549,0.099867,0,0,0,0,0,0,0,0,0
YBL081W,N,738,97,0,1,59,1,9.49,166,241,9,22,4,11,-0.964946,0.092391,0,0,0,0,0,0,0,0,0
YBL082C,N,738,305,0,3,0,0,9.29,107,0.11,14,19,13,21,0.429039,0.131004,1,0,0,0,0,0,0,0,1
YBL084C,Y,305,350,0,5,0,11,8.86,116,-0.02,28,39,30,16,-0.434697,0.08971,1,0,0,0,0,1,0,0,0
YBL085W,N,1273,350,2,2,97,11,9.89,132,45,46,42,69,15,-0.893061,0.071429,1,0,0,0,0,0,0,0,0
YBL086C,N,1273,463,0,2,0,2,9.84,115,15,25,15,24,7,-0.850429,0.075107,0,0,0,0,0,0,0,0,0
YBL087C,N,463,438,1,5,0,6,11.11,624,679,5,2,4,6,-0.077372,0.051095,0,0,0,0,0,1,0,0,0
YBL088C,N,438,65,3,3,0,3,6.9,123,-9,149,112,179,59,-0.164873,0.110513,0,0,0,0,0,0,0,0,0
YBL089W,N,215,65,3,3,3,3,9.12,98,-22,10,13,13,12,0.572985,0.111111,0,0,0,0,0,0,0,0,0
YBL091C,N,196,498,0,5,0,1,6.3,211,214,32,14,35,10,-0.702851,0.076009,1,0,0,0,0,1,0,0,0
YBL092W,Y,1059,194,0,5,93,0,11.83,818,842,3,2,4,2,-0.678462,0.061538,0,0,0,0,0,0,0,0,0
YBL093C,N,1059,166,0,2,0,11,6.29,104,31,18,20,9,6,-1.00091,0.086364,0,0,0,0,0,1,0,0,0
YBL095W,N,181,166,0,2,3,1,7.92,121,45,12,8,19,5,-0.115556,0.096296,0,0,0,1,0,0,0,0,0
YBL097W,Y,383,181,0,4,32,1,4.41,147,8,89,26,67,16,-0.890716,0.072944,0,0,0,0,0,1,0,0,0
YBL098W,N,454,383,0,2,25,1,8.52,165,97,32,12,26,16,-0.282391,0.095652,0,0,0,1,0,0,0,0,0
YBL101C,N,127,200,1,1,0,1,6.88,124,33,65,33,67,18,-0.651388,0.068039,1,0,0,0,0,0,0,0,0
YBL102W,N,562,200,0,4,44,3,8.98,99,86,6,11,7,7,0.289302,0.139535,0,0,0,0,0,0,0,0,0
YBL103C,N,562,975,0,2,0,3,5.73,147,79,26,23,37,14,-0.824486,0.061728,1,0,0,0,0,1,0,0,0
YBL104C,N,975,620,0,3,0,5,6,142,64,75,29,62,23,-0.559345,0.088632,1,0,0,0,0,0,0,0,0
YBL105C,Y,620,361,10,3,0,6,7.08,171,95,72,72,87,25,-0.681408,0.079062,1,0,0,0,0,0,0,0,0
YBL106C,N,361,295,1,2,0,11,9.15,123,41,46,30,47,20,-0.078713,0.085149,0,0,0,0,0,0,0,0,0
YBL107C,N,295,2227,0,1,0,1,6.97,104,-67,12,12,18,2,-0.978061,0.081633,1,0,0,0,0,0,0,0,0
YBR001C,N,424,1473,1,4,0,1,6.44,123,23,47,21,58,17,-0.543974,0.120513,1,0,0,1,0,0,0,0,0
YBR002C,Y,240,424,1,5,0,0,7.79,109,3,15,3,27,7,-0.315385,0.083916,0,0,0,0,0,0,0,0,0
YBR003W,N,240,135,0,4,14,2,9.39,0.14,91,27,13,28,8,-0.2537,0.057082,0,0,0,1,0,0,0,0,0
YBR005W,N,238,462,1,1,17,0,6.69,74,-28,9,12,14,2,-0.570892,0.093897,0,0,0,0,0,0,0,0,0
YBR006W,N,462,301,7,3,28,1,6.61,195,201,19,9,36,9,-0.052918,0.090543,1,0,0,0,0,0,0,0,0
YBR007C,N,1546,301,0,2,0,0,10.01,122,-12,40,22,43,15,-0.91413,0.069293,0,0,0,0,0,0,0,0,0
YBR008C,N,1160,1546,5,1,0,1,6.31,156,118,19,10,26,15,0.410219,0.14781,0,0,0,0,0,0,0,0,1
YBR009C,N,646,1160,1,5,0,74,11.95,734,767,3,2,4,1,-0.503884,0.058252,0,0,0,0,0,1,0,0,0
YBR010W,N,646,370,1,5,53,17,12,622,659,4,8,7,1,-0.677941,0.051471,0,0,0,0,0,1,0,0,0
YBR011C,Y,7516,370,1,5,0,15,5.33,621,647,24,7,19,3,-0.51777,0.097561,1,0,0,0,0,1,0,0,0
YBR013C,N,845,7516,0,0,0,1,7.15,0.1,-71,3,5,5,3,0.028682,0.108527,0,0,0,0,0,0,0,0,0
YBR014C,N,373,845,1,2,0,5,5.91,154,0.07,12,6,15,3,-0.436946,0.073892,0,0,0,0,0,0,0,0,1
YBR015C,N,743,373,1,1,0,1,6.18,0.17,131,48,9,34,10,-0.417085,0.123953,0,0,0,0,0,0,0,0,0
YBR016W,N,743,313,0,0,63,0,7.25,106,74,2,33,3,3,-1.47422,125,0,0,0,0,0,0,0,0,0
YBR017C,N,723,313,0,4,0,47,4.34,144,41,70,37,64,28,-0.030719,0.087146,1,0,0,0,0,1,0,0,0
YBR018C,N,725,723,0,2,0,7,7.57,222,164,18,19,24,6,-0.540164,0.10929,0,0,0,0,0,0,0,0,0
YBR019C,N,668,725,0,2,0,2,5.84,186,142,40,21,44,9,-0.338341,0.107296,0,0,0,0,0,0,0,0,0
YBR020W,N,668,835,1,1,57,2,6.71,194,177,24,12,34,10,-0.089015,0.092803,0,0,0,0,0,0,0,0,0
YBR021W,N,835,393,5,1,55,2,7.86,186,182,22,15,24,15,0.235229,0.164297,0,0,0,0,0,0,0,0,0
YBR022W,N,393,156,0,0,25,0,7.64,117,-13,7,4,13,3,-0.329944,0.112994,0,0,0,0,0,0,0,0,0
YBR023C,N,1519,156,0,3,0,5,6.68,167,114,84,35,54,30,-0.267039,0.103004,0,0,0,0,0,0,0,0,0
YBR025C,N,1011,330,1,5,0,5,7.42,567,592,24,13,33,8,-0.288579,0.068528,1,0,0,0,0,0,0,0,0
YBR028C,N,366,405,11,2,0,2,7.87,149,55,33,13,34,9,-0.567048,0.093333,1,0,0,0,0,0,0,0,0
YBR029C,Y,549,366,0,5,0,1,8.64,169,148,15,9,19,7,0.387527,0.142232,0,0,0,0,0,0,0,0,0
YBR030W,N,549,215,0,1,47,0,4.37,153,59,48,13,59,9,-0.475906,0.086957,0,0,0,0,0,1,0,0,0
YBR031W,N,215,689,1,4,12,0,11.4,803,0.84,7,12,16,3,-0.305801,0.055249,1,0,0,0,0,0,0,0,0
YBR033W,N,689,226,1,0,6,1,8.63,116,-3,39,36,56,21,-0.388575,0.08161,0,0,0,0,0,0,0,0,0
YBR034C,N,292,226,0,4,0,9,5.23,267,282,29,7,24,10,-0.377874,0.109195,1,0,0,0,0,1,0,0,0
YBR035C,N,2125,292,0,3,0,1,7.62,241,327,15,9,22,1,-0.866667,0.114035,0,0,0,0,0,0,0,0,0
YBR036C,N,250,2125,0,0,0,40,7.25,142,163,14,11,15,15,0.383414,0.104878,0,0,0,0,0,0,0,0,1
YBR038W,Y,445,786,1,2,35,5,8.98,172,141,48,36,50,24,-0.260748,0.121495,0,0,0,0,0,0,0,0,0
YBR040W,N,457,401,0,2,33,1,10.3,132,29,9,6,6,10,0.42349,0.124161,0,0,0,0,0,0,0,0,0
YBR041W,N,401,280,0,2,27,1,8.47,194,0.15,36,27,35,14,-0.173393,0.133034,0,0,0,0,0,0,0,0,0
YBR042C,N,266,280,1,2,0,1,10.15,133,0.04,15,10,21,4,-0.007809,0.118388,0,0,0,0,0,0,0,0,0
YBR043C,N,391,266,0,1,0,3,7.76,124,0.07,30,24,35,19,-0.06328,0.105951,0,0,0,0,0,0,0,0,0
YBR045C,N,414,2310,0,1,0,5,5.02,0.14,-42,54,16,52,7,-1.03543,0.082024,0,0,0,0,0,0,0,0,0
YBR046C,N,321,414,0,3,0,0,9.46,156,138,15,10,23,3,-0.153593,0.107784,1,0,0,0,0,1,0,0,0
YBR048W,N,470,573,1,4,37,1,11.55,733,786,2,6,4,2,-0.457051,0.096154,1,0,0,0,0,0,0,0,0
YBR049C,Y,364,573,0,1,0,4,4.83,199,78,94,53,55,17,-1.19506,0.044444,0,0,0,0,0,1,0,0,0
YBR050C,N,520,364,0,0,0,3,8.14,138,29,27,10,18,6,-0.758876,0.076923,0,0,0,0,0,0,0,0,0
YBR052C,N,322,520,2,0,0,0,5.03,149,86,12,3,16,4,-0.15,0.109524,0,0,0,0,0,0,0,0,0
YBR053C,N,2349,322,0,2,0,0,4.77,167,84,26,8,26,4,-0.269274,0.106145,0,0,0,0,0,0,0,0,0
YBR054W,N,2349,466,2,0,161,13,9.94,457,555,14,7,15,11,0.145349,0.127907,0,0,0,0,0,0,0,0,0
YBR055C,Y,577,466,0,4,0,33,8.04,127,-12,59,46,67,17,-0.540935,0.087875,1,0,0,0,0,1,0,0,0
YBR056W,N,577,1870,0,2,28,1,6.43,202,85,41,18,32,8,-0.615968,0.129741,1,0,0,0,0,0,0,0,0
YBR057C,N,378,737,0,1,0,8,5.84,123,-4,11,18,34,20,-0.867213,0.060109,1,0,0,0,0,0,0,0,0
YBR058C,N,306,378,0,5,0,10,4.95,162,0.06,50,37,56,15,-0.523304,0.083227,1,0,0,0,0,1,0,0,0
YBR059C,N,464,294,0,1,0,11,7.73,146,96,52,97,69,31,-0.829693,0.064079,1,0,0,0,0,0,0,0,0
YBR060C,Y,2272,464,0,4,0,3,10.24,0.14,65,29,27,43,17,-0.706613,0.083871,1,0,0,0,0,1,0,0,0
YBR061C,N,256,2272,0,4,0,16,7.84,143,33,26,14,12,5,-0.38871,0.087097,1,0,0,0,0,0,0,0,0
YBR062C,N,647,256,0,3,0,0,4.53,145,69,11,12,20,5,-0.738333,0.072222,0,0,0,0,0,0,0,0,0
YBR063C,N,399,647,0,0,0,1,6.55,131,-5,25,8,29,10,-0.376485,0.094059,0,0,0,0,0,0,0,0,0
YBR065C,N,358,399,0,4,0,6,10.24,107,-44,17,9,20,6,-0.411539,0.057692,0,0,0,0,0,1,0,0,0
