orf_id,Essential,upstream_size,downstream_size,paralagous_count,PI,CAI,ASP,GLN,GLU,LYS,MET,FOP_score,Gravy_score,aromaticity_score
YBR102C,Y,385,368,0,8,132,53,37,46,58,20,416,-0.626826,0.057105
YBR103W,N,385,350,0,4.66,108,38,19,37,30,7,409,-0.289906,0.078505
YBR105C,N,688,224,1,6.74,125,20,24,20,24,5,438,-0.656077,0.11326
YBR106W,N,688,568,0,10,529,8,6,11,16,16,807,-0.166489,0.074468
YBR107C,N,291,568,0,4.97,0.12,11,10,20,13,9,0.47,-0.165714,0.097959
YBR108W,N,291,549,0,10.07,112,37,105,51,65,15,0.43,-1.15829,0.052798
YBR109C,Y,509,549,1,4.01,0.22,12,6,18,8,5,0.5,-0.294558,0.054422
YBR110W,Y,509,956,0,9.31,141,25,15,20,38,12,431,0.03519,0.120267
YBR111C,N,265,956,0,6.31,247,16,10,19,21,6,561,-0.429004,0.064935
YBR112C,N,1477,432,0,4.76,162,34,166,68,32,15,512,-0.838302,0.054865
YBR114W,N,1477,127,1,8.27,163,55,36,53,67,18,477,-0.599367,0.082278
YBR115C,N,465,127,0,5.8,212,97,42,75,86,21,518,-0.256753,0.093391
YBR117C,N,1233,465,1,6.07,168,41,27,41,40,12,523,-0.351101,0.099853
YBR118W,N,1233,290,2,9.72,876,24,12,31,49,8,0.93,-0.299782,0.067686
YBR119W,N,290,111,0,10.96,113,10,18,20,35,8,0.41,-0.672483,0.050336
YBR123C,Y,507,238,0,5.11,135,55,19,50,67,16,0.42,-0.546071,0.087827
YBR125C,N,524,507,2,7.37,129,22,14,20,22,6,464,-0.392621,0.099237
YBR126C,N,876,524,0,6.02,187,24,18,35,32,8,549,-0.223636,0.111111
YBR127C,N,258,876,2,4.79,0.39,36,16,44,26,12,687,-0.378336,0.077369
YBR128C,N,237,258,0,9.96,104,20,15,14,31,15,389,-0.282267,0.084302
YBR129C,N,252,237,0,8.22,141,25,11,20,34,7,419,-0.710671,0.094512
YBR130C,N,293,252,0,9.46,149,22,21,29,43,9,436,-908,0.032941
YBR131W,N,293,374,0,4.99,129,45,28,44,41,9,431,-0.457386,0.112216
YBR132C,N,361,374,16,7.16,142,25,14,28,28,11,456,0.231544,0.14094
YBR133C,N,566,361,0,6.32,127,47,36,54,50,14,447,-0.368198,0.095526
YBR135W,Y,566,361,0,6.42,144,7,24,11,4,4,0.5,-988,0.1
YBR136W,Y,361,269,3,8.37,136,140,96,132,186,45,431,-0.222171,0.105152
YBR137W,N,269,178,0,5.21,157,13,4,16,15,4,443,-0.381006,0.111732
YBR138C,N,327,178,0,7.92,0.13,29,22,42,46,8,408,-0.869657,0.064885
YBR139W,N,327,159,1,5.02,0.15,34,16,27,24,12,441,-0.328346,0.13189
YBR140C,Y,396,159,3,6.54,0.14,172,83,172,195,69,438,-0.122736,0.098318
YBR141C,N,278,396,0,10.5,112,15,17,16,30,8,433,-0.467952,0.068249
YBR142W,Y,278,230,12,8.74,182,60,32,51,81,11,478,-0.582924,0.051746
YBR143C,Y,1579,230,0,4.77,334,32,15,39,41,6,611,-0.340046,0.09611
YBR145W,N,1579,442,6,6.34,253,15,10,22,22,5,589,0.044159,0.08547
YBR147W,N,478,410,1,5.22,113,10,11,16,16,8,428,0.476689,0.121622
YBR148W,N,410,281,0,7.12,173,43,26,56,74,11,466,-0.996552,0.065681
YBR149W,N,281,187,5,5.87,204,19,7,29,26,5,543,-0.289535,0.087209
YBR150C,N,534,187,1,5.15,0.14,99,27,78,81,25,402,-0.598994,0.100548
YBR151W,N,534,397,0,7.16,148,21,11,22,27,3,445,-0.412342,0.075949
YBR152W,Y,397,208,0,5.49,153,27,15,34,34,6,445,-1.53849,0.051546
YBR153W,Y,208,167,0,6.78,87,15,10,11,14,5,0.38,-0.17459,0.065574
YBR154C,Y,761,167,0,9.82,257,8,9,20,17,9,588,-0.502325,0.088372
YBR155W,Y,761,175,0,5.62,183,19,14,48,46,10,499,-0.715325,0.077922
YBR156C,N,788,175,0,10.73,126,38,25,44,86,12,414,-1.0106,0.047278
YBR157C,N,2238,788,0,10.22,128,11,9,18,22,3,425,-0.963137,0.090196
YBR158W,N,2238,486,0,9.67,129,25,20,35,43,10,407,-0.371949,0.071038
YBR159W,N,486,349,0,10.28,231,8,16,21,26,7,0.57,0.027666,0.083573
YBR160W,Y,349,660,10,8.5,168,23,10,16,22,5,484,-0.238591,0.097315
YBR161W,N,660,438,1,9.86,134,24,9,15,33,7,432,-0.440957,0.151596
YBR162C,N,660,438,1,4.33,381,29,18,22,17,8,672,-0.252747,0.09011
YBR162W-A,N,660,294,0,11.16,0.16,0,3,3,10,1,508,-0.286154,0.092308
YBR163W,N,294,394,0,7.24,134,41,19,28,46,11,394,-0.48735,0.107692
YBR164C,N,425,394,4,4.64,0.18,12,7,14,13,4,494,-0.086339,0.081967
YBR165W,N,425,156,0,8.9,119,18,9,8,19,8,411,-0.61083,0.111913
YBR166C,N,267,156,0,6.57,145,23,17,29,37,8,438,-0.145354,0.106195
YBR167C,Y,480,267,0,10.12,159,9,6,9,20,3,496,-0.537143,0.05
YBR168W,N,480,302,0,9.14,117,19,13,24,29,7,0.41,-0.104116,0.130751
YBR169C,N,347,302,13,5.38,192,55,17,55,63,10,492,-0.499856,0.076479
YBR170C,N,277,347,0,5.57,129,34,27,47,40,16,438,-0.500345,0.093103
YBR171W,N,277,165,0,7.27,172,6,9,25,21,4,482,-0.404854,0.106796
YBR172C,N,353,165,2,9.54,157,36,40,50,73,15,476,-0.752568,0.058108
YBR173C,N,235,353,0,4.87,159,11,13,10,7,6,493,-0.690541,0.047297
YBR175W,N,235,364,0,5.93,89,21,10,10,13,7,372,0.072381,0.088889
YBR176W,N,364,148,0,8.12,144,15,13,15,26,14,464,-0.036859,0.083333
YBR177C,N,384,148,2,7.83,166,29,12,26,32,7,464,-0.418625,0.115299
YBR180W,N,626,252,5,9.21,121,20,15,20,28,16,429,0.260839,0.124126
YBR181C,N,731,252,1,11.22,846,12,12,17,28,2,0.91,-0.771186,0.059322
YBR182C,N,496,731,0,10.23,112,21,18,13,27,10,414,-0.627655,0.064159
YBR183W,N,559,297,1,8.35,116,7,6,17,16,6,448,0.317088,0.151899
YBR184W,N,297,188,0,8.7,121,28,21,35,44,9,401,-0.627342,0.09369
YBR186W,N,593,273,0,5.76,102,36,20,41,41,7,395,-0.213652,0.076241
YBR187W,N,273,208,0,5.21,162,13,6,16,14,17,0.49,0.544643,0.092857
YBR188C,N,400,208,0,6.06,95,10,12,13,14,2,333,-0.991429,0.035714
YBR189W,N,400,761,1,10.9,0.81,10,5,17,17,2,902,-0.653846,0.066667
YBR191W,N,761,511,1,11.2,691,3,9,8,17,4,0.84,-0.61375,0.08125
YBR193C,Y,284,296,0,5.25,0.14,12,13,19,13,4,477,-0.576233,0.071749
YBR194W,N,284,204,0,11,127,5,6,10,13,1,455,-1.33171,0.04878
YBR195C,N,353,204,1,5.42,131,32,14,22,22,9,421,-0.501659,0.082938
YBR196C,Y,123,353,0,6.43,681,25,20,35,40,10,841,-0.225632,0.106498
YBR197C,N,270,572,0,9.82,105,18,12,11,19,6,0.41,-0.985714,0.02765
