orf_id,Essential,paralog_count,CAI,Leu,Ser,Thr,Cys,Trp,orf_size,strand_bias
b0041,N,1,"0,558",22,18,10,4,2,268,1
b0042,N,1,"0,632",27,17,18,2,4,313,1
b0043,N,2,"0,55",46,23,15,4,1,428,1
b0044,N,1,"0,586",9,3,3,4,1,95,1
b0045,N,3,"0,425",55,28,20,5,12,443,1
b0046,N,1,"0,494",20,7,7,3,7,176,1
b0047,N,2,"0,497",95,32,26,4,7,620,1
b0048,Y,0,"0,541",11,9,6,2,5,159,1
b0049,N,0,"0,526",37,14,13,6,8,280,0
b0050,N,0,"0,431",8,6,8,1,1,125,0
b0051,N,0,"0,516",27,13,13,2,0,273,0
b0052,N,0,"0,44",43,5,26,4,1,329,0
b0053,N,0,"0,652",37,27,17,0,5,428,0
b0054,Y,0,"0,571",54,56,50,4,18,784,0
b0055,N,0,"0,517",22,9,10,2,4,271,1
b0056,N,0,"0,31",25,8,17,3,5,216,1
b0058,Y,1,"0,484",20,9,10,2,3,219,0
b0059,N,0,"0,668",117,50,45,6,12,968,0
b0060,N,0,"0,495",81,30,40,7,16,783,0
b0061,N,2,"0,567",16,10,18,2,4,231,0
b0062,N,0,"0,641",48,17,33,7,11,500,0
b0063,N,0,"0,583",49,33,26,15,16,566,0
b0064,N,0,"0,41",31,19,7,5,6,292,1
b0065,N,0,"0,467",45,13,10,3,13,254,1
b0066,N,16,"0,418",36,18,15,2,2,232,0
b0067,N,0,"0,473",103,27,22,10,17,536,0
b0068,N,0,"0,535",37,17,19,4,9,327,0
b0069,N,1,"0,456",72,32,26,7,20,551,0
b0070,N,2,"0,36",50,24,19,4,10,392,1
b0071,N,0,"0,6",18,7,8,2,2,201,0
b0072,N,0,"0,658",30,17,33,9,3,466,0
b0073,N,1,"0,596",35,19,12,6,2,364,0
b0074,N,0,"0,612",36,30,23,6,2,523,0
b0076,N,0,"0,378",37,35,17,6,4,373,1
b0077,N,4,"0,434",56,33,36,8,9,604,1
b0078,N,0,"0,401",18,13,9,0,0,163,1
b0080,N,1,"0,491",39,17,16,3,3,334,1
b0081,N,0,"0,367",25,8,7,3,3,152,1
b0082,Y,0,"0,512",31,17,14,0,3,313,1
b0083,Y,0,"0,381",17,6,8,2,1,121,1
b0084,Y,1,"0,533",49,41,30,2,6,588,1
b0085,Y,0,"0,569",52,21,25,8,7,495,1
b0086,N,0,"0,556",54,27,31,4,5,452,1
b0087,N,0,"0,563",49,15,16,2,10,360,1
b0088,Y,0,"0,557",56,21,24,7,3,438,1
b0089,Y,1,"0,496",67,26,19,2,10,414,1
b0090,Y,0,"0,483",30,15,13,1,9,355,1
b0091,Y,1,"0,546",43,17,29,2,1,491,1
b0092,Y,1,"0,424",41,25,13,2,5,306,1
b0093,Y,0,"0,429",31,15,18,0,7,276,1
b0094,Y,0,"0,489",36,24,19,9,2,420,1
b0095,Y,0,"0,661",29,12,24,0,0,383,1
b0097,Y,0,"0,386",23,12,14,1,5,195,1
b0098,Y,0,"0,692",82,44,42,4,7,901,1
b0099,N,0,"0,431",11,2,4,0,5,129,1
b0102,N,0,"0,458",39,14,11,4,4,247,0
b0103,Y,0,"0,422",20,8,9,0,2,206,0
b0104,N,0,"0,621",25,25,22,7,3,347,1
b0106,N,1,"0,352",70,21,24,4,11,400,0
b0107,N,1,"0,374",61,17,34,10,4,461,0
b0108,N,0,"0,434",13,10,12,4,2,146,0
b0109,N,0,"0,465",36,14,19,2,3,297,0
b0110,N,0,"0,45",14,6,12,5,4,183,1
b0111,N,0,"0,415",47,9,18,2,9,284,1
b0112,N,8,"0,596",54,24,18,4,12,457,0
b0113,N,2,"0,455",38,20,6,1,1,254,1
b0114,N,0,"0,786",70,43,42,6,11,887,1
b0115,Y,0,"0,767",33,29,27,1,3,630,1
b0116,Y,3,"0,776",34,14,26,5,4,474,1
b0117,N,0,"0,402",30,40,38,3,8,617,0
b0118,N,0,"0,719",88,36,47,10,8,865,1
b0119,N,0,"0,529",11,5,3,2,3,136,1
b0120,N,0,"0,557",24,14,16,6,1,264,0
b0121,N,0,"0,566",21,14,16,6,2,288,0
b0122,Y,0,"0,373",21,13,6,3,1,156,0
b0123,N,1,"0,515",52,21,26,3,9,516,1
b0124,N,0,"0,591",71,38,52,7,24,796,0
b0125,N,0,"0,677",17,14,7,2,0,182,1
b0126,Y,0,"0,53",28,10,9,5,6,220,0
b0127,N,8,"0,475",42,15,16,1,2,308,1
b0128,N,0,"0,511",33,15,15,1,6,256,1
b0129,Y,0,"0,389",17,12,5,5,3,146,1
b0130,N,0,"0,395",42,25,22,0,6,409,1
b0131,N,0,"0,595",5,6,7,2,2,126,0
b0132,N,3,"0,354",37,17,13,2,2,300,1
b0133,N,0,"0,56",32,12,12,2,1,283,0
b0134,N,0,"0,612",26,8,17,3,1,264,0
b0135,N,0,"0,313",29,36,48,6,3,412,0
b0136,N,0,"0,326",15,24,10,4,1,198,0
b0137,N,0,"0,396",10,19,26,4,1,201,0
b0138,N,0,"0,31",13,19,25,2,2,203,0
b0139,N,8,"0,401",63,98,52,6,13,865,0
b0140,N,7,"0,385",19,24,15,2,4,246,0
b0141,N,0,"0,628",13,14,20,2,0,194,0
b0142,Y,0,"0,401",22,6,9,0,3,159,0
b0143,N,0,"0,602",49,17,25,3,6,454,0
b0144,N,0,"0,427",32,15,11,4,7,308,0
b0145,N,0,"0,602",12,5,6,4,1,151,0
b0146,N,0,"0,397",22,20,17,4,3,234,0
b0147,N,0,"0,383",21,11,11,1,5,179,0
b0148,N,0,"0,416",130,44,31,8,14,824,1
b0149,N,2,"0,57",83,50,40,2,13,844,1
b0150,N,1,"0,626",46,54,58,4,9,747,1
b0151,N,8,"0,525",35,17,12,2,3,265,1
b0152,N,0,"0,458",39,17,13,1,8,296,1
b0153,N,0,"0,459",124,35,38,6,21,660,1
b0154,Y,5,"0,619",36,16,22,10,1,426,0
b0155,N,0,"0,438",67,15,29,3,6,473,1
b0156,N,0,"0,785",9,10,7,3,0,114,1
b0158,N,0,"0,413",26,19,8,2,8,266,0
b0159,Y,0,"0,622",23,12,9,5,0,232,0
b0160,N,0,"0,393",63,32,19,6,10,505,1
b0161,N,1,"0,696",42,41,25,2,0,474,1
b0162,N,0,"0,387",57,15,20,2,5,391,1
b0163,N,0,"0,526",12,7,4,1,0,128,0
b0164,N,0,"0,404",33,11,11,6,3,247,0
b0166,Y,0,"0,715",15,14,14,3,3,274,0
b0167,Y,0,"0,433",122,42,48,9,16,890,0
b0168,Y,0,"0,635",16,12,16,7,1,264,0
b0169,Y,0,"0,814",21,11,13,1,3,241,1
b0170,Y,0,"0,824",16,10,11,2,0,283,1
b0171,Y,0,"0,659",27,9,14,2,1,241,1
b0172,Y,0,"0,714",15,13,9,1,0,185,1
b0173,Y,0,"0,478",43,26,21,8,3,398,1
b0174,Y,0,"0,368",24,13,10,2,6,253,1
b0175,Y,1,"0,376",43,15,10,3,14,249,1
b0176,N,0,"0,402",52,22,16,2,8,450,1
b0177,Y,0,"0,637",57,58,56,2,13,810,1
b0178,N,0,"0,734",14,11,9,0,1,161,1
b0180,Y,0,"0,569",16,3,9,2,0,151,1
b0181,Y,0,"0,607",12,11,16,5,0,262,1
b0182,Y,0,"0,48",51,10,15,7,4,382,1
b0183,Y,0,"0,568",21,9,6,1,1,198,1
b0184,Y,0,"0,545",122,46,45,12,8,1160,1
b0185,Y,0,"0,687",33,16,9,2,2,319,1
b0186,N,4,"0,459",68,36,43,7,12,713,1
b0187,N,0,"0,494",15,7,6,3,1,138,1
b0188,Y,0,"0,415",59,22,20,6,15,432,1
b0189,N,0,"0,481",11,7,5,2,0,86,0
b0190,N,0,"0,49",24,8,11,3,8,181,1
b0191,N,0,"0,401",11,13,7,0,0,140,1
b0192,N,0,"0,47",22,17,18,5,3,236,1
b0193,N,0,"0,393",27,28,16,5,3,292,0
b0194,Y,0,"0,716",49,30,27,1,5,572,0
b0196,N,0,"0,456",10,14,7,6,0,134,0
b0197,N,1,"0,69",29,10,9,1,1,271,0
b0198,N,0,"0,568",26,7,15,0,3,217,0
b0199,N,19,"0,542",43,23,25,5,1,343,0
b0200,N,0,"0,522",14,7,8,3,3,191,1
b0207,N,2,"0,56",28,16,14,1,5,267,1
b0208,N,7,"0,345",33,30,17,3,1,304,0
b0209,N,0,"0,379",30,16,10,2,3,266,1
b0210,Y,0,"0,394",18,14,11,0,4,207,1
b0211,N,0,"0,469",43,43,26,1,8,452,0
b0212,N,0,"0,284",27,11,14,6,3,251,0
b0213,N,0,"0,323",33,11,9,7,7,246,1
b0214,Y,0,"0,511",12,4,10,3,6,155,0
b0215,Y,0,"0,44",21,8,16,3,1,243,1
b0217,N,0,"0,411",22,18,19,5,4,261,1
b0218,N,0,"0,274",12,7,5,3,1,112,0
b0219,N,0,"0,437",26,11,9,4,9,256,0
b0220,N,0,"0,417",12,13,17,2,3,157,1
b0221,N,0,"0,577",97,43,38,8,12,826,0
b0222,N,1,"0,663",13,10,6,3,0,192,1
b0223,N,0,"0,47",21,13,22,7,7,255,1
b0224,N,0,"0,514",19,20,9,4,1,246,0
b0226,N,0,"0,414",10,3,4,0,0,86,0
b0227,N,1,"0,365",27,19,11,2,4,249,1
b0228,N,0,"0,317",8,8,9,2,9,165,1
b0229,N,1,"0,537",74,37,33,1,3,579,0
b0230,N,1,"0,506",25,20,14,0,1,261,1
b0231,N,0,"0,466",38,16,17,6,4,351,1
b0232,N,0,"0,322",9,5,3,0,0,97,1
b0233,N,0,"0,356",15,3,5,1,2,132,1
b0234,N,0,"0,373",7,10,7,2,4,150,1
b0235,N,0,"0,376",8,4,3,0,2,88,1
b0236,N,0,"0,425",13,16,10,2,5,166,1
b0237,N,0,"0,684",54,22,26,4,6,485,0
b0239,N,0,"0,491",44,23,21,6,11,414,1
b0240,N,0,"0,538",15,5,8,3,4,133,1
b0241,N,4,"0,528",23,21,24,0,3,351,0
b0242,N,0,"0,554",39,22,19,3,2,367,1
b0243,N,0,"0,577",43,22,21,7,1,417,1
b0245,Y,2,"0,329",14,4,7,2,2,113,0
b0246,N,3,"0,476",13,6,10,4,0,105,0
b0247,N,2,"0,381",22,5,11,0,1,158,0
b0248,N,1,"0,506",11,6,9,5,5,152,0
b0250,N,1,"0,488",10,15,13,2,3,155,0
b0251,N,2,"0,426",30,21,14,14,2,285,0
b0252,N,1,"0,415",31,19,14,3,3,278,0
b0253,N,2,"0,41",30,22,14,5,4,288,0
b0254,N,2,"0,32",48,18,12,3,4,297,0
b0255,N,0,"0,339",8,10,9,3,2,134,1
b0256,N,2,"0,245",39,27,30,3,6,383,1
b0257,N,0,"0,362",11,8,6,5,3,141,1
b0258,N,0,"0,317",44,22,18,3,10,376,1
b0259,N,10,"0,433",32,17,18,1,7,338,0
b0260,N,8,"0,485",53,26,30,10,13,475,1
b0261,N,0,"0,538",43,16,14,8,4,310,1
b0262,N,16,"0,557",35,18,17,3,1,352,0
b0263,N,0,"0,614",17,12,8,0,1,120,0
b0264,N,5,"0,374",16,12,6,1,5,167,0
b0265,Y,5,"0,464",4,10,8,5,1,91,0
b0266,N,3,"0,35",16,5,8,3,1,125,0
b0267,N,0,"0,488",34,27,21,5,13,384,0
b0268,N,2,"0,599",36,16,19,3,2,309,1
b0269,N,3,"0,621",56,32,47,10,9,655,1
b0270,Y,5,"0,63",60,30,32,10,7,460,1
b0271,Y,0,"0,617",45,37,37,8,19,536,1
b0272,N,4,"0,54",36,16,16,1,3,252,0
b0273,N,1,"0,596",36,13,23,4,4,334,0
b0274,N,5,"0,374",16,12,6,1,5,167,0
b0276,N,0,"0,433",24,10,9,1,4,243,1
b0277,N,1,"0,39",23,9,9,8,2,208,0
b0278,N,0,"0,267",24,20,11,7,2,232,0
b0279,N,0,"0,284",21,27,14,4,3,284,0
b0280,N,0,"0,322",10,20,13,3,1,146,0
b0281,N,0,"0,328",48,38,27,3,13,466,0
b0282,N,0,"0,342",17,4,7,2,3,136,0
b0283,N,0,"0,394",40,19,17,7,4,318,0
b0284,N,2,"0,487",60,36,52,6,8,732,0
b0285,Y,0,"0,457",36,14,23,4,1,318,0
b0286,N,0,"0,412",21,13,20,9,0,229,0
b0287,N,0,"0,329",20,9,6,3,7,204,1
b0289,Y,0,"0,374",20,20,18,3,3,251,0
b0290,N,0,"0,458",33,57,55,8,15,547,0
b0291,N,0,"0,443",82,85,48,2,15,841,0
b0292,N,0,"0,414",25,20,11,2,2,222,0
b0293,N,0,"0,585",15,16,30,0,3,195,0
b0294,N,0,"0,317",15,16,6,2,4,196,0
b0297,N,0,"0,435",19,20,21,1,8,295,1
b0298,Y,4,"0,48",11,10,8,0,1,102,1
b0299,N,5,"0,41",21,22,11,11,9,288,1
b0304,N,3,"0,357",39,22,26,3,2,450,0
b0305,N,0,"0,323",37,23,17,6,5,284,1
b0306,N,0,"0,428",25,16,8,9,1,239,1
b0307,N,0,"0,433",33,21,25,11,7,475,1
b0308,N,0,"0,398",33,19,9,6,2,282,1
b0310,N,0,"0,317",19,16,13,6,3,222,0
b0311,N,0,"0,574",41,25,27,9,9,556,0
b0312,N,8,"0,655",35,30,31,5,6,490,0
b0313,N,0,"0,463",25,15,10,0,3,195,0
b0314,N,0,"0,513",86,49,41,3,17,677,1
b0315,N,0,"0,427",35,23,18,5,4,362,1
b0316,N,4,"0,454",31,14,29,4,4,310,0
b0317,N,0,"0,391",18,16,12,3,8,165,0
b0318,N,0,"0,386",31,5,13,7,1,201,1
b0319,N,0,"0,36",33,12,14,6,4,287,1
b0320,Y,1,"0,56",55,30,24,7,0,515,1
b0321,N,0,"0,621",32,25,26,7,6,472,1
b0323,N,2,"0,546",24,11,19,4,1,316,1
b0324,N,0,"0,585",51,25,33,4,4,460,1
b0325,N,2,"0,504",23,12,19,10,2,349,1
b0326,N,0,"0,315",32,12,9,6,5,271,1
b0327,N,0,"0,216",15,10,5,0,2,91,1
b0328,N,0,"0,335",28,15,15,2,6,223,0
b0329,N,0,"0,467",7,6,7,0,0,91,1
b0330,N,11,"0,459",69,29,33,3,3,528,0
b0331,N,0,"0,603",28,15,16,2,0,296,1
b0333,N,1,"0,603",35,27,21,3,5,389,1
b0334,N,0,"0,609",42,19,27,7,7,483,1
b0335,N,2,"0,532",47,42,33,9,16,628,1
b0336,N,0,"0,475",60,26,27,2,9,419,1
b0337,N,0,"0,494",43,18,26,3,7,427,1
b0338,N,7,"0,347",42,23,15,3,2,299,0
b0339,N,0,"0,475",17,17,7,6,2,219,1
b0340,Y,0,"0,527",22,5,8,1,0,156,1
b0341,N,0,"0,432",68,25,15,4,16,384,1
b0342,N,1,"0,368",10,12,12,2,2,203,0
b0343,N,0,"0,502",54,29,19,8,6,417,0
b0344,N,1,"0,519",96,60,56,16,39,1024,0
b0345,N,7,"0,479",41,32,19,3,2,360,0
b0346,N,0,"0,399",42,20,17,4,4,315,0
b0347,N,0,"0,565",52,18,25,6,12,554,1
b0348,N,0,"0,452",33,20,10,4,4,314,1
b0349,N,0,"0,559",37,19,13,4,7,309,1
b0350,N,0,"0,487",25,13,11,4,3,271,1
b0351,N,0,"0,544",21,16,15,2,1,316,1
b0352,N,0,"0,573",33,16,14,4,3,337,1
b0353,N,0,"0,378",71,29,23,5,7,418,1
b0354,N,0,"0,383",23,10,11,2,1,218,1
b0355,N,1,"0,461",23,21,7,3,5,277,0
b0356,N,0,"0,652",22,16,23,10,3,369,0
b0357,Y,0,"0,381",8,6,4,3,0,98,0
b0358,N,0,"0,456",26,15,29,0,8,257,0
b0364,Y,0,"0,394",11,9,10,2,1,136,0
b0365,N,0,"0,572",25,22,18,1,7,339,1
b0366,N,20,"0,486",39,13,8,1,3,255,1
b0367,N,1,"0,435",49,14,15,0,9,275,1
b0368,N,0,"0,455",25,13,17,0,6,283,1
b0369,Y,0,"0,562",28,21,15,6,1,335,0
b0370,N,0,"0,257",8,6,4,0,1,89,0
b0371,N,0,"0,508",28,49,54,1,11,486,1
b0374,N,0,"0,814",25,39,32,0,7,467,1
b0375,N,0,"0,321",25,12,10,2,4,222,1
b0376,N,0,"0,479",35,27,28,3,4,385,0
b0377,N,0,"0,523",43,21,23,1,13,406,1
b0378,N,0,"0,456",35,32,18,3,6,364,1
b0379,Y,0,"0,396",15,5,4,2,3,102,0
b0380,N,0,"0,361",15,3,7,1,4,114,1
b0381,N,1,"0,524",35,21,18,4,2,364,0
b0383,N,0,"0,496",44,23,43,4,3,471,1
b0384,N,0,"0,379",12,7,11,4,0,112,1
b0385,N,1,"0,386",44,19,22,3,13,371,1
b0386,Y,0,"0,573",18,17,12,4,1,269,0
b0387,N,0,"0,426",14,7,10,4,4,192,1
b0388,N,0,"0,391",17,8,14,3,2,174,1
b0390,N,0,"0,407",35,16,7,1,1,225,1
b0391,N,0,"0,542",7,13,6,1,1,94,1
b0392,N,0,"0,276",19,5,8,0,1,93,1
b0393,N,0,"0,597",39,20,12,5,5,303,0
b0394,N,1,"0,42",30,17,20,8,5,348,1
b0396,N,3,"0,371",57,28,15,5,4,394,0
b0397,N,0,"0,455",145,51,76,8,15,1048,0
b0398,N,0,"0,478",45,24,27,5,4,400,0
b0399,N,12,"0,442",20,9,12,1,3,229,1
b0400,N,3,"0,426",62,21,25,3,11,431,1
b0401,N,0,"0,616",61,32,28,5,8,439,1
b0402,N,8,"0,593",42,29,23,2,14,457,1
b0403,N,0,"0,458",57,26,23,7,22,605,1
b0404,N,0,"0,43",23,13,5,1,7,193,0
b0405,N,0,"0,566",35,18,20,1,0,356,1
b0406,N,0,"0,571",31,13,17,8,4,375,1
b0408,Y,0,"0,628",68,33,36,1,2,615,1
b0409,Y,0,"0,589",38,21,18,0,4,323,1
b0410,N,0,"0,573",8,5,5,4,2,115,1
b0411,N,0,"0,748",19,21,14,0,14,294,0
b0412,N,0,"0,304",27,18,15,1,0,199,0
b0414,Y,0,"0,431",40,16,19,6,5,367,1
b0415,Y,0,"0,724",12,4,10,0,1,156,1
b0416,Y,0,"0,642",17,7,2,1,1,139,1
b0417,Y,0,"0,476",48,19,16,6,5,325,1
b0418,Y,0,"0,466",18,9,6,2,11,172,1
b0419,N,3,"0,442",35,25,17,5,6,348,0
b0420,Y,0,"0,576",64,35,28,6,4,620,0
b0421,Y,0,"0,467",39,16,12,4,0,299,0
b0423,N,0,"0,656",43,25,20,5,4,482,1
b0424,N,0,"0,607",20,10,13,4,2,198,0
b0425,N,0,"0,44",34,12,21,6,7,303,0
b0426,N,0,"0,644",13,14,4,0,1,169,1
b0427,N,0,"0,482",54,27,23,2,9,456,0
b0428,N,0,"0,539",34,21,10,3,7,296,0
b0429,Y,0,"0,585",10,9,9,1,4,109,0
b0430,N,0,"0,659",24,11,17,3,6,204,0
b0431,N,0,"0,652",61,27,40,4,26,663,0
b0432,N,0,"0,542",24,27,15,1,8,315,0
b0433,N,0,"0,404",89,27,30,5,15,491,0
b0434,N,0,"0,601",18,14,18,2,1,226,0
b0435,N,0,"0,351",9,9,8,2,1,116,1
b0436,N,0,"0,815",31,14,19,0,1,432,1
b0437,N,0,"0,556",19,13,10,2,0,207,1
b0438,N,0,"0,666",45,23,19,7,0,424,1
b0439,N,0,"0,641",84,38,32,6,3,784,1
b0440,N,0,"0,661",5,5,5,0,0,90,1
b0441,N,0,"0,678",55,32,25,0,2,623,1
b0442,Y,0,"0,516",12,10,6,1,0,123,1
b0443,N,0,"0,426",17,6,7,1,2,132,1
b0444,N,0,"0,517",24,7,15,8,2,231,0
b0445,N,1,"0,369",84,27,39,8,17,566,0
b0446,N,1,"0,401",41,12,16,7,3,276,1
b0447,N,0,"0,478",24,8,12,5,3,181,1
b0448,N,4,"0,487",71,34,27,3,11,590,1
b0449,N,4,"0,482",84,41,28,1,6,593,1
b0450,N,1,"0,57",9,4,5,0,0,112,1
b0451,N,0,"0,534",48,16,22,8,9,428,1
b0452,N,0,"0,508",31,20,10,1,3,286,0
b0453,N,0,"0,529",14,17,19,1,1,190,1
b0454,N,0,"0,385",12,8,5,1,3,129,0
b0456,Y,0,"0,483",2,6,1,1,2,117,1
b0457,N,6,"0,387",56,39,22,3,13,518,0
b0458,N,0,"0,47",19,10,10,1,2,169,0
b0459,N,1,"0,418",13,6,10,4,1,183,0
b0461,N,0,"0,376",15,8,5,4,2,124,0
b0462,N,6,"0,625",102,62,67,2,9,1049,0
b0463,N,3,"0,558",34,22,33,1,1,397,0
b0464,N,1,"0,368",27,13,10,4,3,215,1
b0465,N,1,"0,53",159,64,68,5,25,1120,1
b0467,Y,0,"0,452",25,5,9,3,4,175,0
b0468,Y,0,"0,419",21,5,4,2,8,125,1
b0469,Y,0,"0,699",23,7,12,0,0,183,1
b0470,Y,0,"0,513",79,30,37,6,6,643,1
b0471,N,0,"0,752",9,5,3,1,0,109,1
b0472,N,0,"0,551",20,11,13,7,0,201,1
b0473,N,0,"0,754",66,44,34,0,10,624,1
b0474,Y,0,"0,762",16,5,11,1,0,214,1
b0475,Y,0,"0,485",38,19,14,4,5,320,1
b0476,N,0,"0,413",39,13,19,8,5,319,0
b0477,N,0,"0,552",42,30,22,7,6,434,1
b0478,N,2,"0,494",93,22,28,3,4,558,0
b0479,N,0,"0,435",59,35,17,2,6,406,0
b0480,N,0,"0,552",44,21,29,2,7,550,1
b0481,N,0,"0,512",17,4,8,0,0,159,0
b0482,Y,0,"0,381",42,12,13,1,7,264,0
b0483,Y,0,"0,356",19,3,11,0,2,131,1
b0484,N,2,"0,56",90,53,51,6,10,834,0
b0485,N,1,"0,476",34,17,14,5,3,310,1
b0486,N,0,"0,45",66,34,14,2,7,430,1
b0488,N,0,"0,377",23,12,4,0,10,151,0
b0489,N,0,"0,603",24,23,13,1,2,305,0
b0490,N,1,"0,382",29,14,12,2,2,225,1
b0491,N,0,"0,385",32,22,12,4,2,268,1
b0492,N,0,"0,572",46,14,16,2,2,296,0
b0493,N,0,"0,457",26,19,16,3,2,269,0
b0494,N,0,"0,431",29,11,6,0,6,208,0
b0495,N,12,"0,43",37,14,9,2,0,228,1
b0496,N,0,"0,442",142,39,36,6,28,804,1
b0497,N,3,"0,413",129,96,110,12,25,1426,1
b0498,Y,1,"0,27",10,8,5,2,1,122,1
b0499,N,1,"0,298",26,13,7,5,4,236,1
b0502,N,0,"0,438",13,9,6,1,1,135,0
b0503,N,0,"0,502",44,11,16,7,7,364,0
b0504,N,3,"0,378",35,22,22,2,7,308,0
b0505,Y,0,"0,501",18,6,8,3,2,160,1
b0506,N,4,"0,378",37,22,13,3,2,271,1
b0507,N,4,"0,615",43,20,25,12,4,593,1
b0508,N,1,"0,474",25,6,12,6,4,258,1
b0509,N,3,"0,57",34,16,16,4,0,292,1
b0510,N,0,"0,204",9,5,2,1,2,92,1
b0511,N,0,"0,468",52,23,21,5,9,437,1
b0512,N,1,"0,729",33,19,20,12,4,453,1
b0513,N,0,"0,387",73,32,31,7,8,435,1
b0514,N,1,"0,505",32,14,13,9,0,381,1
b0515,N,0,"0,544",25,14,10,3,2,261,0
b0516,N,0,"0,471",34,17,29,8,7,411,0
b0517,N,1,"0,439",25,20,16,3,2,349,0
b0518,N,1,"0,457",65,38,28,9,5,555,1
b0519,N,0,"0,56",24,13,18,5,3,333,1
b0520,Y,0,"0,371",40,17,14,6,8,271,1
b0521,Y,2,"0,45",33,15,12,2,4,297,1
b0522,N,0,"0,561",42,16,17,4,9,355,0
b0523,N,0,"0,659",14,11,6,0,2,169,0
b0524,Y,0,"0,493",27,9,9,3,4,240,0
b0525,Y,1,"0,782",5,6,12,2,1,164,0
b0526,Y,0,"0,66",36,19,18,5,7,461,1
b0529,N,0,"0,569",26,10,17,5,1,288,0
b0530,N,1,"0,374",13,16,18,2,0,191,1
b0531,N,3,"0,316",25,19,12,0,3,230,1
b0532,N,8,"0,382",73,76,57,6,17,867,1
b0534,N,0,"0,318",20,12,14,4,3,171,1
b0535,N,1,"0,312",24,21,15,3,0,210,0
b0537,N,0,"0,3",31,25,13,4,15,387,0
b0540,Y,4,"0,48",11,10,8,0,1,102,1
b0541,N,5,"0,41",21,22,11,11,9,288,1
b0543,N,0,"0,263",16,8,7,3,4,110,1
b0544,N,0,"0,232",55,42,20,10,4,508,1
b0545,N,1,"0,312",9,13,20,2,5,183,1
b0546,N,0,"0,22",32,20,16,5,3,265,1
b0547,Y,0,"0,512",16,10,11,4,4,151,1
b0549,Y,0,"0,456",7,2,7,6,1,96,1
b0550,Y,0,"0,501",9,3,7,1,2,120,1
b0551,N,0,"0,396",11,8,3,6,3,127,1
b0552,N,10,"0,433",32,17,18,1,7,338,0
b0553,N,4,"0,618",22,22,27,0,5,375,0
b0555,N,0,"0,395",13,6,12,4,4,165,1
b0556,N,0,"0,442",12,7,9,3,1,153,1
b0557,N,0,"0,421",9,2,13,3,0,97,0
b0558,Y,2,"0,271",13,7,13,1,2,150,0
b0560,N,1,"0,443",18,9,6,1,2,181,1
b0561,N,2,"0,407",21,17,12,0,8,247,1
b0562,N,0,"0,32",22,19,12,3,1,194,0
b0564,Y,2,"0,235",22,24,15,8,2,249,1
b0565,N,0,"0,353",20,27,23,0,8,317,0
b0566,N,2,"0,377",33,25,15,9,3,253,0
b0567,N,0,"0,456",37,23,14,2,8,296,0
b0568,N,0,"0,454",120,53,47,4,24,990,0
b0569,N,0,"0,485",91,40,40,5,20,745,0
b0570,N,6,"0,427",51,32,28,2,2,480,0
b0571,N,12,"0,46",33,8,14,0,2,227,0
b0572,N,1,"0,423",58,41,20,3,3,457,1
b0573,N,0,"0,605",6,7,9,0,1,110,1
b0574,N,0,"0,526",37,23,34,0,7,407,1
b0575,N,6,"0,506",121,59,54,2,21,1047,1
b0576,N,8,"0,559",65,28,15,3,13,458,1
b0577,N,0,"0,468",55,26,24,1,10,415,0
b0578,N,0,"0,64",19,13,11,1,3,217,0
b0579,N,0,"0,387",15,9,1,1,3,122,0
